date,time_start,time_end,source_family,summary_recovery_type,source_mode,data_visibility,confidence_cap,proxy_vs_raw_verdict,proxy_raw_agreement_state,source_quality_score,source_quality_state,b6_memory_candidate_score,b6_memory_candidate_state,raw_texture_role,raw_delta_pips,raw_range_pips,raw_tick_count,moment_type,label_fr,memory_candidate_reason,technical_limits
2026-05-13,2026-05-13T00:00:00+00:00,2026-05-13T01:00:00+00:00,FORCE_SNAPSHOT_DERIVED,FORCE_SNAPSHOT_DERIVED,TF5_BAR_PROXY,RECONSTRUCTED_FORCE_SNAPSHOT_DERIVED,0.25,NUANCED_BY_RAW,NUANCED_BY_RAW,0.620,SOURCE_QUALITY_USABLE,0.710,B6_REVIEW_CANDIDATE,RAW_ROTATION_CONFIRMED,1.0,8.6,2942,FLOW_DIRECTIONAL_DISPLACEMENT,Déplacement directionnel proxy,REVIEW: scene lisible pour comparaison apres relecture; ne pas durcir NUANCED_BY_RAW en verite raw; provenance FORCE_SNAPSHOT_DERIVED; score memoire 0.710.,FORCE_SNAPSHOT_DERIVED: reconstruction force_snapshots_v2; not recovered existing summary; proxy/reconstructed reading; not full footprint claim; NUANCED_BY_RAW: useful but not hard-confirmed raw; source_quality_raw=FULL_DAY_TF5_PROXY; confidence_cap=0.25; read-only; no DB write; no dashboard; no Telegram; no BUY/SELL
2026-05-13,2026-05-13T03:00:00+00:00,2026-05-13T04:00:00+00:00,FORCE_SNAPSHOT_DERIVED,FORCE_SNAPSHOT_DERIVED,TF5_BAR_PROXY,RECONSTRUCTED_FORCE_SNAPSHOT_DERIVED,0.25,NUANCED_BY_RAW,NUANCED_BY_RAW,0.620,SOURCE_QUALITY_USABLE,0.710,B6_REVIEW_CANDIDATE,RAW_ROTATION_CONFIRMED,-1.4,9.2,2080,FLOW_DIRECTIONAL_DISPLACEMENT,Déplacement directionnel proxy,REVIEW: scene lisible pour comparaison apres relecture; ne pas durcir NUANCED_BY_RAW en verite raw; provenance FORCE_SNAPSHOT_DERIVED; score memoire 0.710.,FORCE_SNAPSHOT_DERIVED: reconstruction force_snapshots_v2; not recovered existing summary; proxy/reconstructed reading; not full footprint claim; NUANCED_BY_RAW: useful but not hard-confirmed raw; source_quality_raw=FULL_DAY_TF5_PROXY; confidence_cap=0.25; read-only; no DB write; no dashboard; no Telegram; no BUY/SELL
2026-05-13,2026-05-13T04:00:00+00:00,2026-05-13T05:00:00+00:00,FORCE_SNAPSHOT_DERIVED,FORCE_SNAPSHOT_DERIVED,TF5_BAR_PROXY,RECONSTRUCTED_FORCE_SNAPSHOT_DERIVED,0.25,NUANCED_BY_RAW,NUANCED_BY_RAW,0.620,SOURCE_QUALITY_USABLE,0.710,B6_REVIEW_CANDIDATE,RAW_ROTATION_CONFIRMED,-2.7,6.2,1444,FLOW_WEAK_DIRECTIONAL,Flux faible / transition proxy,REVIEW: scene lisible pour comparaison apres relecture; ne pas durcir NUANCED_BY_RAW en verite raw; provenance FORCE_SNAPSHOT_DERIVED; score memoire 0.710.,FORCE_SNAPSHOT_DERIVED: reconstruction force_snapshots_v2; not recovered existing summary; proxy/reconstructed reading; not full footprint claim; NUANCED_BY_RAW: useful but not hard-confirmed raw; source_quality_raw=FULL_DAY_TF5_PROXY; confidence_cap=0.25; read-only; no DB write; no dashboard; no Telegram; no BUY/SELL
2026-05-13,2026-05-13T05:00:00+00:00,2026-05-13T06:00:00+00:00,FORCE_SNAPSHOT_DERIVED,FORCE_SNAPSHOT_DERIVED,TF5_BAR_PROXY,RECONSTRUCTED_FORCE_SNAPSHOT_DERIVED,0.25,NUANCED_BY_RAW,NUANCED_BY_RAW,0.620,SOURCE_QUALITY_USABLE,0.710,B6_REVIEW_CANDIDATE,RAW_ROTATION_CONFIRMED,10.7,15.6,2227,FLOW_WEAK_DIRECTIONAL,Flux faible / transition proxy,REVIEW: scene lisible pour comparaison apres relecture; ne pas durcir NUANCED_BY_RAW en verite raw; provenance FORCE_SNAPSHOT_DERIVED; score memoire 0.710.,FORCE_SNAPSHOT_DERIVED: reconstruction force_snapshots_v2; not recovered existing summary; proxy/reconstructed reading; not full footprint claim; NUANCED_BY_RAW: useful but not hard-confirmed raw; source_quality_raw=FULL_DAY_TF5_PROXY; confidence_cap=0.25; read-only; no DB write; no dashboard; no Telegram; no BUY/SELL
2026-05-13,2026-05-13T06:00:00+00:00,2026-05-13T07:00:00+00:00,FORCE_SNAPSHOT_DERIVED,FORCE_SNAPSHOT_DERIVED,TF5_BAR_PROXY,RECONSTRUCTED_FORCE_SNAPSHOT_DERIVED,0.25,NUANCED_BY_RAW,NUANCED_BY_RAW,0.620,SOURCE_QUALITY_USABLE,0.710,B6_REVIEW_CANDIDATE,RAW_ROTATION_CONFIRMED,-17.5,27.5,3476,FLOW_WEAK_DIRECTIONAL,Flux faible / transition proxy,REVIEW: scene lisible pour comparaison apres relecture; ne pas durcir NUANCED_BY_RAW en verite raw; provenance FORCE_SNAPSHOT_DERIVED; score memoire 0.710.,FORCE_SNAPSHOT_DERIVED: reconstruction force_snapshots_v2; not recovered existing summary; proxy/reconstructed reading; not full footprint claim; NUANCED_BY_RAW: useful but not hard-confirmed raw; source_quality_raw=FULL_DAY_TF5_PROXY; confidence_cap=0.25; read-only; no DB write; no dashboard; no Telegram; no BUY/SELL
2026-05-13,2026-05-13T08:00:00+00:00,2026-05-13T09:00:00+00:00,FORCE_SNAPSHOT_DERIVED,FORCE_SNAPSHOT_DERIVED,TF5_BAR_PROXY,RECONSTRUCTED_FORCE_SNAPSHOT_DERIVED,0.25,NUANCED_BY_RAW,NUANCED_BY_RAW,0.620,SOURCE_QUALITY_USABLE,0.710,B6_REVIEW_CANDIDATE,RAW_ROTATION_CONFIRMED,-1.4,14.5,3230,FLOW_DIRECTIONAL_DISPLACEMENT,Déplacement directionnel proxy,REVIEW: scene lisible pour comparaison apres relecture; ne pas durcir NUANCED_BY_RAW en verite raw; provenance FORCE_SNAPSHOT_DERIVED; score memoire 0.710.,FORCE_SNAPSHOT_DERIVED: reconstruction force_snapshots_v2; not recovered existing summary; proxy/reconstructed reading; not full footprint claim; NUANCED_BY_RAW: useful but not hard-confirmed raw; source_quality_raw=FULL_DAY_TF5_PROXY; confidence_cap=0.25; read-only; no DB write; no dashboard; no Telegram; no BUY/SELL
2026-05-13,2026-05-13T09:00:00+00:00,2026-05-13T10:00:00+00:00,FORCE_SNAPSHOT_DERIVED,FORCE_SNAPSHOT_DERIVED,TF5_BAR_PROXY,RECONSTRUCTED_FORCE_SNAPSHOT_DERIVED,0.25,NUANCED_BY_RAW,NUANCED_BY_RAW,0.620,SOURCE_QUALITY_USABLE,0.710,B6_REVIEW_CANDIDATE,RAW_ROTATION_CONFIRMED,-1.6,16.9,3372,FLOW_DIRECTIONAL_DISPLACEMENT,Déplacement directionnel proxy,REVIEW: scene lisible pour comparaison apres relecture; ne pas durcir NUANCED_BY_RAW en verite raw; provenance FORCE_SNAPSHOT_DERIVED; score memoire 0.710.,FORCE_SNAPSHOT_DERIVED: reconstruction force_snapshots_v2; not recovered existing summary; proxy/reconstructed reading; not full footprint claim; NUANCED_BY_RAW: useful but not hard-confirmed raw; source_quality_raw=FULL_DAY_TF5_PROXY; confidence_cap=0.25; read-only; no DB write; no dashboard; no Telegram; no BUY/SELL
2026-05-13,2026-05-13T11:00:00+00:00,2026-05-13T12:00:00+00:00,FORCE_SNAPSHOT_DERIVED,FORCE_SNAPSHOT_DERIVED,TF5_BAR_PROXY,RECONSTRUCTED_FORCE_SNAPSHOT_DERIVED,0.25,NUANCED_BY_RAW,NUANCED_BY_RAW,0.620,SOURCE_QUALITY_USABLE,0.710,B6_REVIEW_CANDIDATE,RAW_ROTATION_CONFIRMED,-1.7,10.8,3274,FLOW_ROTATIONAL,Rotation / respiration de zone,REVIEW: scene lisible pour comparaison apres relecture; ne pas durcir NUANCED_BY_RAW en verite raw; provenance FORCE_SNAPSHOT_DERIVED; score memoire 0.710.,FORCE_SNAPSHOT_DERIVED: reconstruction force_snapshots_v2; not recovered existing summary; proxy/reconstructed reading; not full footprint claim; NUANCED_BY_RAW: useful but not hard-confirmed raw; source_quality_raw=FULL_DAY_TF5_PROXY; confidence_cap=0.25; read-only; no DB write; no dashboard; no Telegram; no BUY/SELL
2026-05-13,2026-05-13T13:00:00+00:00,2026-05-13T14:00:00+00:00,FORCE_SNAPSHOT_DERIVED,FORCE_SNAPSHOT_DERIVED,TF5_BAR_PROXY,RECONSTRUCTED_FORCE_SNAPSHOT_DERIVED,0.25,NUANCED_BY_RAW,NUANCED_BY_RAW,0.620,SOURCE_QUALITY_USABLE,0.710,B6_REVIEW_CANDIDATE,RAW_ROTATION_CONFIRMED,14.9,24.7,5592,FLOW_ROTATIONAL,Rotation / respiration de zone,REVIEW: scene lisible pour comparaison apres relecture; ne pas durcir NUANCED_BY_RAW en verite raw; provenance FORCE_SNAPSHOT_DERIVED; score memoire 0.710.,FORCE_SNAPSHOT_DERIVED: reconstruction force_snapshots_v2; not recovered existing summary; proxy/reconstructed reading; not full footprint claim; NUANCED_BY_RAW: useful but not hard-confirmed raw; source_quality_raw=FULL_DAY_TF5_PROXY; confidence_cap=0.25; read-only; no DB write; no dashboard; no Telegram; no BUY/SELL
2026-05-13,2026-05-13T14:00:00+00:00,2026-05-13T15:00:00+00:00,FORCE_SNAPSHOT_DERIVED,FORCE_SNAPSHOT_DERIVED,TF5_BAR_PROXY,RECONSTRUCTED_FORCE_SNAPSHOT_DERIVED,0.25,NUANCED_BY_RAW,NUANCED_BY_RAW,0.620,SOURCE_QUALITY_USABLE,0.710,B6_REVIEW_CANDIDATE,RAW_ROTATION_CONFIRMED,2.8,15.8,5061,FLOW_WEAK_DIRECTIONAL,Flux faible / transition proxy,REVIEW: scene lisible pour comparaison apres relecture; ne pas durcir NUANCED_BY_RAW en verite raw; provenance FORCE_SNAPSHOT_DERIVED; score memoire 0.710.,FORCE_SNAPSHOT_DERIVED: reconstruction force_snapshots_v2; not recovered existing summary; proxy/reconstructed reading; not full footprint claim; NUANCED_BY_RAW: useful but not hard-confirmed raw; source_quality_raw=FULL_DAY_TF5_PROXY; confidence_cap=0.25; read-only; no DB write; no dashboard; no Telegram; no BUY/SELL
2026-05-13,2026-05-13T15:00:00+00:00,2026-05-13T16:00:00+00:00,FORCE_SNAPSHOT_DERIVED,FORCE_SNAPSHOT_DERIVED,TF5_BAR_PROXY,RECONSTRUCTED_FORCE_SNAPSHOT_DERIVED,0.25,NUANCED_BY_RAW,NUANCED_BY_RAW,0.620,SOURCE_QUALITY_USABLE,0.710,B6_REVIEW_CANDIDATE,RAW_ROTATION_CONFIRMED,2.7,16.6,4518,FLOW_DIRECTIONAL_DISPLACEMENT,Déplacement directionnel proxy,REVIEW: scene lisible pour comparaison apres relecture; ne pas durcir NUANCED_BY_RAW en verite raw; provenance FORCE_SNAPSHOT_DERIVED; score memoire 0.710.,FORCE_SNAPSHOT_DERIVED: reconstruction force_snapshots_v2; not recovered existing summary; proxy/reconstructed reading; not full footprint claim; NUANCED_BY_RAW: useful but not hard-confirmed raw; source_quality_raw=FULL_DAY_TF5_PROXY; confidence_cap=0.25; read-only; no DB write; no dashboard; no Telegram; no BUY/SELL
